segment_variable,segment_value,customers,churn_rate,avg_tenure,avg_12m_churn_risk,avg_CLV_12m,avg_CLV_60m,total_CLV_60m
region,Zone 1,322,0.2795031055900621,35.142857142857146,0.12073017184214595,286.4321759700822,1005.8041231707205,323868.927660972
region,Zone 2,334,0.281437125748503,35.41017964071856,0.11736960113626414,285.34775177567116,1008.0807148891898,336698.9587729894
region,Zone 3,344,0.2616279069767442,35.997093023255815,0.12668753558892495,281.334046549329,983.8811048646104,338455.100073426
marital,Married,495,0.25656565656565655,38.85050505050505,0.09745035432809589,295.89029227931997,1067.300145825314,528313.5721835304
marital,Unmarried,505,0.29108910891089107,32.26732673267327,0.14538445339181372,272.97134077256715,932.0978501462515,470709.414323857
ed,College degree,234,0.39316239316239315,32.072649572649574,0.1481128517270546,303.874169221173,1028.3662981761818,240637.71377322654
ed,Did not complete high school,204,0.1568627450980392,39.3235294117647,0.08464184803215419,262.0490242617581,971.5738560116545,198201.06662637752
ed,High school degree,287,0.21951219512195122,36.930313588850176,0.11537528483252704,278.9468216506633,993.5133658343228,285138.33599445067
ed,Post-undergraduate degree,66,0.42424242424242425,34.74242424242424,0.13897407313670526,314.84650021869925,1065.8997178292384,70349.38137672974
ed,Some college,209,0.2822966507177033,34.004784688995215,0.13132408841447543,281.88544685685235,979.4090370172389,204696.48873660294
retire,No,953,0.28436516264428124,34.71458551941238,0.12635649227909762,283.52168471089334,989.2188523043947,942725.5662460881
retire,Yes,47,0.06382978723404255,51.97872340425532,0.02636887687858252,300.4267284878397,1197.8174523680696,56297.420261299274
gender,Female,517,0.2765957446808511,36.011605415860735,0.12156740780189935,284.06270110311243,998.2201456523514,516079.8153022657
gender,Male,483,0.2712215320910973,35.006211180124225,0.12175305283994084,284.58758860890407,999.8823420395895,482943.17120512173
voice,No,696,0.22701149425287356,35.604885057471265,0.11048225636796763,250.3537094582711,898.8295407559717,625585.3603661563
voice,Yes,304,0.3815789473684211,35.3453947368421,0.1472415260630524,362.07249995214835,1228.4132438856284,373437.62614123104
internet,No,632,0.1819620253164557,37.82120253164557,0.08971759300354618,271.79572260533763,997.762582293204,630585.9520093049
internet,Yes,368,0.4320652173913043,31.58423913043478,0.17650966189410927,305.8188181571641,1001.1875937447893,368437.0344980825
forward,No,507,0.28205128205128205,33.717948717948715,0.13669172665292328,222.5879548493457,770.9281756698934,390860.58506463596
forward,Yes,493,0.2657200811359026,37.385395537525355,0.10619547452787281,347.7974212166157,1233.5951347723153,608162.4014427514
custcat,Basic service,266,0.31203007518796994,24.67669172932331,0.18675144677687588,165.39734453959753,532.0675559791518,141529.9698904544
custcat,E-service,217,0.271889400921659,43.345622119815665,0.0861544581647503,247.07085163979107,899.9289797036561,195284.58859569338
custcat,Plus service,281,0.15658362989323843,40.07829181494662,0.07149808214852466,320.50395041994335,1190.7334422807573,334596.09728089283
custcat,Total service,236,0.3728813559322034,35.144067796610166,0.14065555511499223,409.5107764705005,1388.1878421201134,327612.33074034675
